,Name,lat,long,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
0,Cabo San Lucas,22.89,-109.91,28.89,83,5,1603246391,5.7,MX
1,Sitka,57.05,-135.33,6.0,75,75,1603246656,1.58,US
2,East London,-33.02,27.91,14.16,66,0,1603246656,2.46,ZA
3,Sidi Ali,36.1,0.42,21.62,28,100,1603246656,7.56,DZ
4,Bathsheba,13.22,-59.52,28.0,78,40,1603246656,3.6,BB
5,Tuktoyaktuk,69.45,-133.04,-5.0,92,90,1603246656,7.2,CA
6,Punta Arenas,-53.15,-70.92,5.0,75,75,1603246657,2.6,CL
7,Rikitea,-23.12,-134.97,23.38,75,24,1603246657,4.16,PF
8,Mataura,-46.19,168.86,13.89,58,17,1603246657,4.92,NZ
9,Mocorito,25.48,-107.92,29.44,70,0,1603246657,1.34,MX
10,Ushuaia,-54.8,-68.3,5.0,75,40,1603246657,2.17,AR
11,Kieta,-6.22,155.63,29.36,67,99,1603246657,1.96,PG
12,Nemuro,43.32,145.57,14.0,54,20,1603246657,3.6,JP
13,Port Shepstone,-30.74,30.45,18.1,71,96,1603246657,4.15,ZA
14,Busselton,-33.65,115.33,21.67,38,0,1603246657,2.81,AU
15,Sibolga,1.74,98.78,29.51,64,47,1603246503,0.68,ID
16,Upernavik,72.79,-56.15,0.41,92,100,1603246658,1.28,GL
17,Puerto Baquerizo Moreno,-0.9,-89.6,20.6,87,51,1603246658,6.67,EC
18,Jamestown,42.1,-79.24,9.44,93,90,1603246599,3.1,US
19,Kismayo,-0.36,42.55,26.12,82,69,1603246658,5.78,SO
20,Hilo,19.73,-155.09,28.0,58,90,1603246366,3.6,US
21,Khatanga,71.97,102.5,-14.18,95,83,1603246658,3.81,RU
22,São Miguel do Iguaçu,-25.35,-54.24,25.0,73,0,1603246658,1.0,BR
23,Thompson,55.74,-97.86,-3.0,79,90,1603246658,1.0,CA
24,La Ronge,55.1,-105.28,-4.0,73,90,1603246659,2.1,CA
25,Grand Gaube,-20.01,57.66,23.89,72,0,1603246659,1.34,MU
26,Cidreira,-30.18,-50.21,20.49,93,97,1603246424,3.29,BR
27,Kapaa,22.08,-159.32,27.78,83,90,1603246659,4.1,US
28,Udachny,66.42,112.4,-16.0,84,90,1603246659,1.0,RU
29,Saint George,37.1,-113.58,24.0,11,1,1603246624,2.1,US
30,Ostrovskoye,57.81,42.24,-1.43,97,17,1603246659,4.2,RU
31,Kandrian,-6.22,149.55,29.68,66,91,1603246659,3.01,PG
32,Cockburn Town,21.46,-71.14,27.63,79,89,1603246537,6.67,TC
33,Bethel,41.37,-73.41,15.56,97,54,1603246659,0.26,US
34,Vaini,-21.2,-175.2,24.0,69,75,1603246660,3.1,TO
35,Bluff,-46.6,168.33,13.89,58,50,1603246660,4.92,NZ
36,Yellowknife,62.46,-114.35,-6.0,79,20,1603246660,4.1,CA
37,Forio,40.73,13.86,16.0,76,8,1603246660,1.0,IT
38,Butaritari,3.07,172.79,27.99,73,46,1603246511,4.63,KI
39,Kupang,-10.17,123.58,33.0,59,40,1603246660,3.6,ID
40,Mar del Plata,-38.0,-57.56,11.11,87,0,1603246660,2.6,AR
41,Alta Floresta,-9.88,-56.09,25.41,62,0,1603246660,0.16,BR
42,Bredasdorp,-34.53,20.04,5.0,93,0,1603246660,1.0,ZA
43,Port Alfred,-33.59,26.89,13.06,76,0,1603246660,3.49,ZA
44,Betong,5.77,101.07,27.7,77,52,1603246661,0.21,TH
45,Juneau,58.3,-134.42,4.44,86,75,1603246378,1.5,US
46,Albany,42.6,-73.97,13.33,84,100,1603246503,0.45,US
47,Kaitangata,-46.28,169.85,13.79,47,57,1603246661,1.19,NZ
48,Shimoda,34.67,138.95,19.0,55,20,1603246661,9.8,JP
49,Victoria Point,-27.58,153.3,26.67,47,75,1603246661,5.1,AU
50,Linfen,36.09,111.52,15.1,26,0,1603246661,2.64,CN
51,Stepnogorsk,52.35,71.89,6.27,55,90,1603246661,4.86,KZ
52,Torbay,47.67,-52.73,15.0,93,90,1603246662,8.7,CA
53,Arraial do Cabo,-22.97,-42.03,22.48,85,0,1603246539,9.26,BR
54,Quatre Cocos,-20.21,57.76,23.89,83,40,1603246662,4.6,MU
55,Kiryat Gat,31.61,34.76,22.78,100,18,1603246382,0.45,IL
56,Atuona,-9.8,-139.03,25.54,75,79,1603246511,6.76,PF
57,Collie,-33.37,116.15,21.67,38,15,1603246662,3.4,AU
58,Kachug,53.96,105.88,-1.71,87,87,1603246662,2.13,RU
59,Avarua,-21.21,-159.78,24.0,88,100,1603246662,3.6,CK
60,Sinnamary,5.38,-52.95,26.73,80,100,1603246662,5.66,GF
61,Goba,7.02,39.98,10.11,73,89,1603246663,0.84,ET
62,Chepareria,1.31,35.2,16.27,81,89,1603246663,1.04,KE
63,Severo-Kuril'sk,50.68,156.12,5.89,65,59,1603246663,12.84,RU
64,San Matías,-16.37,-58.4,25.15,79,99,1603246663,0.3,BO
65,Conceição do Araguaia,-8.26,-49.26,28.15,50,98,1603246663,1.63,BR
66,Hasaki,35.73,140.83,20.0,49,40,1603246663,5.7,JP
67,General Pico,-35.66,-63.76,10.38,54,1,1603246373,4.22,AR
68,Taganak,6.08,118.3,31.0,66,20,1603246663,4.1,PH
69,Mwense,-10.38,28.7,22.43,75,100,1603246664,2.8,ZM
70,Xiongzhou,25.12,114.3,20.89,62,6,1603246664,3.46,CN
71,Karmāla,18.42,75.2,23.41,85,53,1603246664,0.38,IN
72,Santa Isabel Rio Negro,-0.41,-65.02,25.42,81,74,1603246664,1.5,BR
73,Pacific Grove,36.62,-121.92,16.67,87,1,1603246640,1.5,US
74,College,64.86,-147.8,-5.0,79,90,1603246664,0.45,US
75,Bengkulu,-3.8,102.27,28.97,64,35,1603246664,0.88,ID
76,Merauke,-8.47,140.33,30.13,64,15,1603246214,4.91,ID
77,Saskylakh,71.92,114.08,-6.79,97,91,1603246664,3.81,RU
78,Kapit,2.02,112.93,31.26,57,96,1603246664,0.77,MY
79,Norman Wells,65.28,-126.83,-6.0,92,90,1603246665,6.7,CA
80,Hong Kong,22.29,114.16,25.56,66,55,1603246597,1.34,HK
81,Ibanda,-2.8,32.47,19.31,85,99,1603246665,1.48,TZ
82,Clifton,40.86,-74.16,17.78,93,90,1603246514,3.1,US
83,Fulton,33.77,-84.45,20.0,93,1,1603246665,2.95,US
84,Hermanus,-34.42,19.23,10.56,85,0,1603246665,1.34,ZA
85,Ponta do Sol,32.67,-17.1,20.0,64,20,1603246665,3.6,PT
86,Barrow,71.29,-156.79,-2.0,86,90,1603246665,5.7,US
87,Chara,56.91,118.26,-8.82,84,0,1603246665,1.41,RU
88,Hobart,-42.88,147.33,19.44,45,75,1603246602,1.5,AU
89,Gáldar,28.15,-15.65,23.0,73,75,1603246666,3.6,ES
90,Turka,49.15,23.03,6.11,96,100,1603246666,18.78,UA
91,Rawson,-43.3,-65.1,10.51,59,0,1603246666,7.93,AR
92,Mount Gambier,-37.83,140.77,17.0,59,90,1603246666,3.6,AU
93,Nantucket,41.28,-70.1,17.78,93,90,1603246558,3.1,US
94,Nikolskoye,59.7,30.79,0.0,92,90,1603246666,1.54,RU
95,Kuytun,54.34,101.5,0.33,92,100,1603246666,5.28,RU
96,Kemisē,10.72,39.87,17.14,52,36,1603246667,1.39,ET
97,Bojnourd,37.47,57.33,3.0,69,0,1603246667,2.1,IR
98,Ostrovnoy,68.05,39.51,2.65,81,100,1603246667,5.86,RU
99,Esperance,-33.87,121.9,17.0,93,90,1603246667,6.7,AU
100,Marabu,4.41,114.01,28.89,78,40,1603246667,3.6,MY
101,Angoche,-16.23,39.91,22.86,87,0,1603246667,2.43,MZ
102,Salalah,17.02,54.09,25.0,47,1,1603246667,1.5,OM
103,Cabedelo,-6.98,-34.83,24.0,94,75,1603246667,5.1,BR
104,Masunga,-20.62,27.45,21.78,22,0,1603246667,6.32,BW
105,Saint-François,46.42,3.91,17.22,55,100,1603246667,8.7,FR
106,Castro,-24.79,-50.01,17.19,89,58,1603246391,2.64,BR
107,Souillac,-20.52,57.52,23.0,83,40,1603246668,4.6,MU
108,Port Augusta,-32.5,137.77,27.78,49,0,1603246518,3.6,AU
109,Rocha,-34.48,-54.33,12.62,66,100,1603246668,5.26,UY
110,Ngunguru,-35.62,174.5,17.82,64,62,1603246668,5.29,NZ
111,Lebu,-37.62,-73.65,9.48,78,0,1603246668,7.83,CL
112,Salinas,36.68,-121.66,17.22,77,1,1603246401,3.1,US
113,Vila Velha,-20.33,-40.29,21.0,94,90,1603246395,3.1,BR
114,Airai,-8.93,125.41,27.01,31,21,1603246668,2.23,TL
115,Tateyama,34.98,139.87,20.56,55,20,1603246668,9.8,JP
116,Kruisfontein,-34.0,24.73,8.89,91,0,1603246668,1.65,ZA
117,Bosaso,11.28,49.18,28.7,37,39,1603246449,3.64,SO
118,Ribeira Brava,32.65,-17.07,20.0,64,20,1603246669,3.6,PT
119,Morehead,37.27,-87.18,20.0,93,75,1603246669,3.4,US
120,São Filipe,14.9,-24.5,28.15,68,55,1603246669,1.49,CV
121,Narsaq,60.92,-46.05,-1.0,86,100,1603246669,1.0,GL
122,Ascension,30.22,-90.9,24.0,83,1,1603246669,2.4,US
123,Vaitape,-16.52,-151.75,26.55,79,1,1603246669,6.38,PF
124,Staraya Mayna,54.6,48.95,4.0,69,75,1603246669,7.0,RU
125,Coyhaique,-45.58,-72.07,6.0,75,0,1603246669,1.5,CL
126,Arlit,18.74,7.39,29.44,13,0,1603246670,2.88,NE
127,Springdale,36.19,-94.13,21.0,100,75,1603246461,2.6,US
128,Feijó,-8.16,-70.35,23.04,97,100,1603246670,0.87,BR
129,George Town,5.41,100.34,28.0,83,20,1603246527,1.91,MY
130,Mindelo,16.89,-24.98,27.0,83,75,1603246670,8.7,CV
131,Auki,-8.77,160.7,29.29,73,65,1603246511,0.74,SB
132,Yar-Sale,66.83,70.83,-3.72,98,100,1603246670,1.7,RU
133,New Norfolk,-42.78,147.06,19.44,54,96,1603246670,0.45,AU
134,Adana Province,36.98,35.29,19.0,82,28,1603246670,2.1,TR
135,Ribeira Grande,38.52,-28.7,17.53,68,78,1603246671,11.37,PT
136,Cape Town,-33.93,18.42,10.0,87,0,1603246322,1.0,ZA
137,Kahului,20.89,-156.47,32.0,40,20,1603246671,5.1,US
138,Salinópolis,-0.61,-47.36,27.02,77,2,1603246671,5.29,BR
139,Atar,20.52,-13.05,29.44,26,0,1603246671,2.37,MR
140,Ancud,-41.87,-73.82,7.22,75,0,1603246671,4.1,CL
141,Avera,33.19,-82.53,20.0,93,1,1603246671,3.07,US
142,Puerto Ayora,-0.74,-90.35,20.56,92,94,1603246671,3.58,EC
143,San Borja,-14.82,-66.85,23.2,91,53,1603246671,1.35,BO
144,Qaanaaq,77.48,-69.36,-6.44,82,37,1603246671,2.76,GL
145,Caravelas,-17.71,-39.25,22.78,93,100,1603246412,0.62,BR
146,Tasiilaq,65.61,-37.64,0.0,96,100,1603246672,8.2,GL
147,Chivay,-15.64,-71.6,7.25,65,100,1603246672,0.88,PE
148,Wajima,37.4,136.9,19.0,52,20,1603246672,4.1,JP
149,Comodoro Rivadavia,-45.87,-67.5,8.0,70,95,1603246672,2.6,AR
150,Saldanha,-33.01,17.94,6.0,81,0,1603246672,2.1,ZA
151,Ocós,14.51,-92.19,24.0,100,40,1603246672,3.92,GT
152,Broome,42.25,-75.83,10.56,100,90,1603246672,2.1,US
153,Tabory,58.52,64.55,-1.5,98,0,1603246672,2.09,RU
154,Port Elizabeth,-33.92,25.57,10.0,87,7,1603246672,1.0,ZA
155,Carnarvon,-24.87,113.63,23.0,56,40,1603246672,8.7,AU
156,Lavrentiya,65.58,-171.0,3.51,95,97,1603246673,3.19,RU
157,Mogzon,51.74,111.96,-4.64,86,100,1603246673,4.05,RU
158,Codrington,-38.27,141.97,14.59,70,4,1603246673,3.34,AU
159,Srednekolymsk,67.45,153.68,-7.22,96,81,1603246673,2.46,RU
160,Kenai,60.55,-151.26,6.0,56,1,1603246673,2.1,US
161,Darnah,32.77,22.64,20.42,70,3,1603246673,7.4,LY
162,Saint-Pierre,-21.34,55.48,21.11,60,1,1603246673,1.5,RE
163,Sartell,45.62,-94.21,-1.0,92,90,1603246673,2.6,US
164,Victor Harbor,-35.57,138.62,16.67,74,50,1603246674,0.45,AU
165,Olinda,-8.01,-34.86,26.0,78,40,1603246674,5.7,BR
166,Kawalu,-7.38,108.21,25.46,77,100,1603246674,0.79,ID
167,Moreira Sales,-24.06,-53.01,22.55,65,0,1603246674,2.3,BR
168,Levelland,33.59,-102.38,23.0,53,1,1603246674,5.1,US
169,Clyde River,70.47,-68.59,-3.0,79,75,1603246674,4.6,CA
170,Sokolo,14.73,-6.12,29.49,18,0,1603246674,3.69,ML
171,Taltal,-25.4,-70.48,14.85,68,6,1603246674,1.52,CL
172,Mahébourg,-20.41,57.7,23.0,83,40,1603246674,4.6,MU
173,Baryshivka,50.36,31.32,4.44,93,77,1603246674,2.0,UA
174,Zacualpan,21.25,-105.17,29.0,83,20,1603246674,1.0,MX
175,Margate,51.38,1.39,15.0,90,100,1603246675,1.79,GB
176,Honningsvåg,70.98,25.97,3.66,74,41,1603246675,2.05,NO
177,Novyy Urgal,51.07,132.56,4.79,69,100,1603246675,0.84,RU
178,Tutóia,-2.76,-42.27,26.87,74,0,1603246675,6.34,BR
179,Polillo,14.71,121.94,29.32,74,99,1603246675,6.36,PH
180,Yichun,47.7,128.9,12.97,54,100,1603246675,6.91,CN
181,Doba,8.65,16.85,22.23,72,0,1603246675,1.32,TD
182,Yulara,-25.24,130.99,34.0,17,0,1603246675,1.5,AU
183,Fort Saint James,54.43,-124.25,-1.32,96,100,1603246675,0.59,CA
184,Kungurtug,50.6,97.52,-3.21,89,90,1603246675,0.31,RU
185,Bāfq,31.61,55.41,8.97,48,0,1603246676,0.62,IR
186,Luena,-11.78,19.92,17.26,72,0,1603246676,2.55,AO
187,Chui,-33.7,-53.46,14.42,74,100,1603246676,5.93,UY
188,Kavaratti,10.57,72.64,27.7,70,86,1603246676,3.58,IN
189,San Felipe,10.34,-68.74,23.06,89,96,1603246676,0.67,VE
190,San Patricio,28.02,-97.52,26.11,83,20,1603246676,4.6,US
191,Sharjah city,25.36,55.4,23.0,59,0,1603246676,2.1,AE
192,Vanimo,-2.67,141.3,28.81,73,100,1603246676,0.73,PG
193,Sfântu Gheorghe,45.87,25.78,0.56,89,0,1603246677,1.02,RO
194,Goderich,43.75,-81.72,7.78,83,100,1603246610,7.36,CA
195,Hithadhoo,-0.6,73.08,27.8,80,65,1603246677,6.13,MV
196,Zhangye,38.93,100.45,12.95,32,0,1603246677,2.81,CN
197,Mwingi,-0.93,38.06,17.79,81,23,1603246677,2.4,KE
198,Quixeré,-5.07,-37.99,24.85,65,0,1603246677,3.52,BR
199,Farnes,61.32,7.8,0.44,92,98,1603246677,1.28,NO
200,Makakilo City,21.35,-158.09,29.0,70,1,1603246678,3.6,US
201,Faanui,-16.48,-151.75,26.09,80,1,1603246678,6.38,PF
202,Mossamedes,-15.2,12.15,19.93,84,100,1603246678,3.11,AO
203,Leningradskiy,69.38,178.42,1.87,83,48,1603246678,3.92,RU
204,Fare,-16.7,-151.02,26.46,77,6,1603246678,5.6,PF
205,Guerrero Negro,27.98,-114.06,21.21,84,0,1603246678,6.78,MX
206,Virginia Beach,36.85,-75.98,20.0,97,100,1603246669,2.35,US
207,Cherskiy,68.75,161.3,-4.99,97,97,1603246678,1.97,RU
208,Vao,-22.67,167.48,22.97,83,99,1603246678,5.93,NC
209,Saint-Philippe,-21.36,55.77,21.11,60,15,1603246678,1.5,RE
210,Beira,-19.84,34.84,24.0,94,40,1603246679,1.5,MZ
211,Mocuba,-16.84,36.99,23.19,66,1,1603246679,1.49,MZ
212,Fort Nelson,58.81,-122.7,-8.0,72,75,1603246679,1.5,CA
213,Northam,51.03,-4.22,13.89,92,100,1603246679,3.13,GB
214,Morant Bay,17.88,-76.41,26.0,83,20,1603246679,3.6,JM
215,Iqaluit,63.75,-68.51,-1.0,74,90,1603246679,4.1,CA
216,Sant Julià de Loria,42.46,1.48,11.67,71,97,1603246679,1.79,AD
217,Nanortalik,60.14,-45.24,2.02,93,100,1603246679,6.76,GL
218,Mbandaka,0.05,18.26,21.37,92,23,1603246680,1.49,CD
219,Bisert',56.86,59.05,0.01,97,100,1603246680,3.49,RU
220,Assiniboia,49.63,-105.98,-7.0,96,39,1603246680,4.08,CA
221,Laguna,38.42,-121.42,26.67,40,1,1603246680,0.8,US
222,Anadyr,64.75,177.48,6.0,75,86,1603246680,7.0,RU
223,Kyra,49.58,111.98,-3.23,77,3,1603246680,5.78,RU
224,Malbork,54.04,19.03,8.33,88,100,1603246680,1.79,PL
225,Tilichiki,60.47,166.1,4.7,87,100,1603246680,7.4,RU
226,Tres Palos,18.18,-101.62,23.34,91,29,1603246680,0.9,MX
227,Tiksi,71.69,128.87,-13.09,92,89,1603246681,3.92,RU
228,Krasnystaw,50.98,23.17,8.0,93,100,1603246681,5.1,PL
229,Plouzané,48.38,-4.62,15.0,93,90,1603246681,3.6,FR
230,Pisco,-13.7,-76.22,17.78,82,2,1603246681,5.7,PE
231,Vigrestad,58.57,5.7,10.56,97,99,1603246681,4.62,NO
232,Saint Paul Harbor,57.79,-152.41,8.0,45,1,1603246681,4.6,US
233,Minas,-34.38,-55.24,11.11,71,100,1603246681,7.7,UY
234,Beloha,-25.17,45.05,17.43,71,0,1603246682,1.95,MG
235,Lagoa,39.05,-27.98,17.21,68,28,1603246682,11.45,PT
236,Olafsvik,64.89,-23.71,6.07,75,100,1603246682,4.84,IS
237,Palmer,42.16,-72.33,16.67,100,75,1603246682,2.1,US
238,Westport,41.14,-73.36,17.0,93,90,1603246682,0.37,US
239,Vizinga,61.07,50.1,-0.99,97,100,1603246682,3.82,RU
240,Banda Aceh,5.56,95.32,29.84,62,36,1603246607,4.21,ID
241,Sobolevo,54.43,31.9,1.87,87,100,1603246682,2.5,RU
242,Cooma,-36.23,149.13,21.0,32,40,1603246682,5.1,AU
243,Cabatuan,10.88,122.49,28.67,80,33,1603246683,6.34,PH
244,Lázaro Cárdenas,17.96,-102.2,26.89,87,40,1603246683,2.17,MX
245,Klaksvík,62.23,-6.59,4.0,72,39,1603246683,2.6,FO
246,Iranshahr,27.2,60.68,12.0,10,0,1603246683,2.1,IR
247,Koróni,36.8,21.95,17.22,93,20,1603246683,3.6,GR
248,Anastácio,-20.48,-55.81,22.96,89,100,1603246683,0.76,BR
249,Buchanan,5.88,-10.05,24.96,88,88,1603246683,1.86,LR
250,Mujiayingzi,42.12,118.78,5.77,56,0,1603246683,5.96,CN
251,Kavieng,-2.57,150.8,27.73,77,98,1603246683,3.31,PG
252,Yumen,40.28,97.2,12.57,32,0,1603246684,4.08,CN
253,Latung,5.5,120.88,28.92,76,100,1603246684,7.15,PH
254,Poli,-3.33,36.8,20.0,82,40,1603246684,2.6,TZ
255,Verkhniy Ufaley,56.06,60.23,-0.65,98,81,1603246684,2.36,RU
256,Mil'kovo,54.72,158.62,5.07,60,1,1603246684,3.85,RU
257,Yolombó,6.6,-75.01,15.0,100,75,1603246684,2.1,CO
258,Antofagasta,-23.65,-70.4,15.0,77,75,1603246431,2.6,CL
259,Sijunjung,-0.69,100.95,28.77,64,90,1603246684,0.74,ID
260,Mananjary,-21.22,48.33,21.42,85,1,1603246684,2.5,MG
261,Fairbanks,64.84,-147.72,-5.0,85,90,1603246684,0.43,US
262,Adrar,20.5,-10.07,28.07,17,0,1603246685,2.69,MR
263,Flinders,-34.58,150.86,23.89,65,51,1603246413,3.58,AU
264,Pevek,69.7,170.31,-0.54,95,84,1603246685,7.32,RU
265,Thessalon,46.25,-83.57,5.0,60,90,1603246685,2.6,CA
266,Bereda,43.27,-7.54,13.33,100,100,1603246685,5.36,ES
267,Hualmay,-11.1,-77.61,17.42,80,47,1603246685,3.71,PE
268,Saint Anthony,45.02,-93.22,0.56,99,90,1603246517,2.1,US
269,Santa Cruz,30.42,-9.6,21.0,73,20,1603246685,0.95,MA
270,Egvekinot,66.32,-179.17,1.06,100,98,1603246685,2.52,RU
